Designation;A;Ix;Zx;Sx;rx;Iy;Zy;Sy;ry;J
W44X335;98.5;31100;1620;1410;17.8;1200;236;150;3.49;74.7
W44X290;85.4;27000;1410;1240;17.8;1040;205;132;3.49;50.9
W44X262;77.2;24100;1270;1110;17.7;923;182;117;3.47;37.3
W44X230;67.8;20800;1100;971;17.5;796;157;101;3.43;24.9
W40X593;174;50400;2760;2340;17.0;2520;481;302;3.80;445
W40X503;148;41600;2320;1980;16.8;2040;394;249;3.72;277
W40X431;127;34800;1960;1690;16.6;1690;328;208;3.65;177
W40X397;117;32000;1800;1560;16.6;1540;300;191;3.64;142
W40X372;110;29600;1680;1460;16.5;1420;277;177;3.60;116
W40X362;106;28900;1640;1420;16.5;1380;270;173;3.60;109
W40X324;95.3;25600;1460;1280;16.4;1220;239;153;3.58;79.4
W40X297;87.3;23200;1330;1170;16.3;1090;215;138;3.54;61.2
W40X277;81.5;21900;1250;1100;16.4;1040;204;132;3.58;51.5
W40X249;73.5;19600;1120;993;16.3;926;182;118;3.55;38.1
W40X215;63.5;16700;964;859;16.2;803;156;101;3.54;24.8
W40X199;58.8;14900;869;770;16.0;695;137;88.2;3.45;18.3
W40X392;116;29900;1710;1440;16.1;803;212;130;2.64;172
W40X331;97.7;24700;1430;1210;15.9;644;172;106;2.57;105
W40X327;95.9;24500;1410;1200;16.0;640;170;105;2.58;103
W40X294;86.2;21900;1270;1080;15.9;562;150;93.5;2.55;76.6
W40X278;82.3;20500;1190;1020;15.8;521;140;87.1;2.52;65.0
W40X264;77.4;19400;1130;971;15.8;493;132;82.6;2.52;56.1
W40X235;69.1;17400;1010;875;15.9;444;118;74.6;2.54;41.3
W40X211;62.1;15500;906;786;15.8;390;105;66.1;2.51;30.4
W40X183;53.3;13200;774;675;15.7;331;88.3;56.0;2.49;19.3
W40X167;49.3;11600;693;600;15.3;283;76.0;47.9;2.40;14.0
W40X149;43.8;9800;598;513;15.0;229;62.2;38.8;2.29;9.36
W36X652;192;50600;2910;2460;16.2;3230;581;367;4.10;593
W36X529;156;39600;2330;1990;16.0;2490;454;289;4.00;327
W36X487;143;36000;2130;1830;15.8;2250;412;263;3.96;258
W36X441;130;32100;1910;1650;15.7;1990;368;235;3.92;194
W36X395;116;28500;1710;1490;15.7;1750;325;208;3.88;142
W36X361;106;25700;1550;1350;15.6;1570;293;188;3.85;109
W36X330;96.9;23300;1410;1240;15.5;1420;265;171;3.83;84.3
W36X302;89.0;21100;1280;1130;15.4;1300;241;156;3.82;64.3
W36X282;82.9;19600;1190;1050;15.4;1200;223;144;3.80;52.7
W36X262;77.2;17900;1100;972;15.3;1090;204;132;3.76;41.6
W36X247;72.5;16700;1030;913;15.2;1010;190;123;3.74;34.7
W36X231;68.2;15600;963;854;15.1;940;176;114;3.71;28.7
W36X256;75.3;16800;1040;895;14.9;528;137;86.5;2.65;52.9
W36X232;68.0;15000;936;809;14.8;468;122;77.2;2.62;39.6
W36X210;61.9;13200;833;719;14.6;411;107;67.5;2.58;28.0
W36X194;57.0;12100;767;664;14.6;375;97.7;61.9;2.56;22.2
W36X182;53.6;11300;718;623;14.5;347;90.7;57.6;2.55;18.5
W36X170;50.0;10500;668;581;14.5;320;83.8;53.2;2.53;15.1
W36X160;47.0;9760;624;542;14.4;295;77.3;49.1;2.50;12.4
W36X150;44.3;9040;581;504;14.3;270;70.9;45.1;2.47;10.1
W36X135;39.9;7800;509;439;14.0;225;59.7;37.7;2.38;7.00
W33X387;114;24300;1560;1350;14.6;1620;312;200;3.77;148
W33X354;104;22000;1420;1240;14.5;1460;282;181;3.74;115
W33X318;93.7;19500;1270;1110;14.5;1290;250;161;3.71;84.4
W33X291;85.6;17700;1160;1020;14.4;1160;226;146;3.68;65.1
W33X263;77.4;15900;1040;919;14.3;1040;202;131;3.66;48.7
W33X241;71.1;14200;940;831;14.1;933;182;118;3.62;36.2
W33X221;65.3;12900;857;759;14.1;840;164;106;3.59;27.8
W33X201;59.1;11600;773;686;14.0;749;147;95.2;3.56;20.8
W33X169;49.5;9290;629;549;13.7;310;84.4;53.9;2.50;17.7
W33X152;44.9;8160;559;487;13.5;273;73.9;47.2;2.47;12.4
W33X141;41.5;7450;514;448;13.4;246;66.9;42.7;2.43;9.70
W33X130;38.3;6710;467;406;13.2;218;59.5;37.9;2.39;7.37
W33X118;34.7;5900;415;359;13.0;187;51.3;32.6;2.32;5.30
W30X391;115;20700;1450;1250;13.4;1550;310;198;3.67;173
W30X357;105;18700;1320;1140;13.3;1390;279;179;3.64;134
W30X326;95.9;16800;1190;1040;13.2;1240;252;162;3.60;103
W30X292;86.0;14900;1060;930;13.2;1100;223;144;3.58;75.2
W30X261;77.0;13100;943;829;13.1;959;196;127;3.53;54.1
W30X235;69.3;11700;847;748;13.0;855;175;114;3.51;40.3
W30X211;62.3;10300;751;665;12.9;757;155;100;3.49;28.4
W30X191;56.1;9200;675;600;12.8;673;138;89.5;3.46;21.0
W30X173;50.9;8230;607;541;12.7;598;123;79.8;3.42;15.6
W30X148;43.6;6680;500;436;12.4;227;68.0;43.3;2.28;14.5
W30X132;38.8;5770;437;380;12.2;196;58.4;37.2;2.25;9.72
W30X124;36.5;5360;408;355;12.1;181;54.0;34.4;2.23;7.99
W30X116;34.2;4930;378;329;12.0;164;49.2;31.3;2.19;6.43
W30X108;31.7;4470;346;299;11.9;146;43.9;27.9;2.15;4.99
W30X99;29.0;3990;312;269;11.7;128;38.6;24.5;2.10;3.77
W30X90;26.3;3610;283;245;11.7;115;34.7;22.1;2.09;2.84
W27X539;159;25600;1890;1570;12.7;2110;437;277;3.65;496
W27X368;109;16200;1240;1060;12.2;1310;279;179;3.48;170
W27X336;99.2;14600;1130;972;12.1;1180;252;162;3.45;131
W27X307;90.2;13100;1030;887;12.0;1050;227;146;3.41;101
W27X281;83.1;11900;936;814;12.0;953;206;133;3.39;79.5
W27X258;76.1;10800;852;745;11.9;859;187;120;3.36;61.6
W27X235;69.4;9700;772;677;11.8;769;168;108;3.33;47.0
W27X217;63.9;8910;711;627;11.8;704;154;100;3.32;37.6
W27X194;57.1;7860;631;559;11.7;619;136;88.1;3.29;27.1
W27X178;52.5;7020;570;505;11.6;555;122;78.8;3.25;20.1
W27X161;47.6;6310;515;458;11.5;497;109;70.9;3.23;15.1
W27X146;43.2;5660;464;414;11.5;443;97.7;63.5;3.20;11.3
W27X129;37.8;4760;395;345;11.2;184;57.6;36.8;2.21;11.1
W27X114;33.6;4080;343;299;11.0;159;49.3;31.5;2.18;7.33
W27X102;30.0;3620;305;267;11.0;139;43.4;27.8;2.15;5.28
W27X94;27.6;3270;278;243;10.9;124;38.8;24.8;2.12;4.03
W27X84;24.7;2850;244;213;10.7;106;33.2;21.2;2.07;2.81
W24X370;109;13400;1130;957;11.1;1160;267;170;3.27;201
W24X335;98.3;11900;1020;864;11.0;1030;238;152;3.23;152
W24X306;89.7;10700;922;789;10.9;919;214;137;3.20;117
W24X279;81.9;9600;835;718;10.8;823;193;124;3.17;90.5
W24X250;73.5;8490;744;644;10.7;724;171;110;3.14;66.6
W24X229;67.2;7650;675;588;10.7;651;154;99.4;3.11;51.3
W24X207;60.7;6820;606;531;10.6;578;137;88.8;3.08;38.3
W24X192;56.5;6260;559;491;10.5;530;126;81.8;3.07;30.8
W24X176;51.7;5680;511;450;10.5;479;115;74.3;3.04;23.9
W24X162;47.8;5170;468;414;10.4;443;105;68.4;3.05;18.5
W24X146;43.0;4580;418;371;10.3;391;93.2;60.5;3.01;13.4
W24X131;38.6;4020;370;329;10.2;340;81.5;53.0;2.97;9.50
W24X117;34.4;3540;327;291;10.1;297;71.4;46.5;2.94;6.72
W24X104;30.7;3100;289;258;10.1;259;62.4;40.7;2.91;4.72
W24X103;30.3;3000;280;245;10.0;119;41.5;26.5;1.99;7.07
W24X94;27.7;2700;254;222;9.87;109;37.5;24.0;1.98;5.26
W24X84;24.7;2370;224;196;9.79;94.4;32.6;20.9;1.95;3.70
W24X76;22.4;2100;200;176;9.69;82.5;28.6;18.4;1.92;2.68
W24X68;20.1;1830;177;154;9.55;70.4;24.5;15.7;1.87;1.87
W24X62;18.2;1550;153;131;9.23;34.5;15.7;9.80;1.38;1.71
W24X55;16.2;1350;134;114;9.11;29.1;13.3;8.30;1.34;1.18
W21X201;59.3;5310;530;461;9.47;542;133;86.1;3.02;40.9
W21X182;53.6;4730;476;417;9.40;483;119;77.2;3.00;30.7
W21X166;48.8;4280;432;380;9.36;435;108;70.0;2.99;23.6
W21X147;43.2;3630;373;329;9.17;376;92.6;60.1;2.95;15.4
W21X132;38.8;3220;333;295;9.12;333;82.3;53.5;2.93;11.3
W21X122;35.9;2960;307;273;9.09;305;75.6;49.2;2.92;8.98
W21X111;32.6;2670;279;249;9.05;274;68.2;44.5;2.90;6.83
W21X101;29.8;2420;253;227;9.02;248;61.7;40.3;2.89;5.21
W21X93;27.3;2070;221;192;8.70;92.9;34.7;22.1;1.84;6.03
W21X83;24.4;1830;196;171;8.67;81.4;30.5;19.5;1.83;4.34
W21X73;21.5;1600;172;151;8.64;70.6;26.6;17.0;1.81;3.02
W21X68;20.0;1480;160;140;8.60;64.7;24.4;15.7;1.80;2.45
W21X62;18.3;1330;144;127;8.54;57.5;21.7;14.0;1.77;1.83
W21X55;16.2;1140;126;110;8.40;48.4;18.4;11.8;1.73;1.24
W21X48;14.1;959;107;93.0;8.24;38.7;14.9;9.52;1.66;0.803
W21X57;16.7;1170;129;111;8.36;30.6;14.8;9.35;1.35;1.77
W21X50;14.7;984;110;94.5;8.18;24.9;12.2;7.64;1.30;1.14
W21X44;13.0;843;95.4;81.6;8.06;20.7;10.2;6.37;1.26;0.770
W18X311;91.6;6970;754;624;8.72;795;207;132;2.95;176
W18X283;83.3;6170;676;565;8.61;704;185;118;2.91;134
W18X258;76.0;5510;611;514;8.53;628;166;107;2.88;103
W18X234;68.6;4900;549;466;8.44;558;149;95.8;2.85;78.7
W18X211;62.3;4330;490;419;8.35;493;132;85.3;2.82;58.6
W18X192;56.2;3870;442;380;8.28;440;119;76.8;2.79;44.7
W18X175;51.4;3450;398;344;8.20;391;106;68.8;2.76;33.8
W18X158;46.3;3060;356;310;8.12;347;94.8;61.4;2.74;25.2
W18X143;42.0;2750;322;282;8.09;311;85.4;55.5;2.72;19.2
W18X130;38.3;2460;290;256;8.03;278;76.7;49.9;2.70;14.5
W18X119;35.1;2190;262;231;7.90;253;69.1;44.9;2.69;10.6
W18X106;31.1;1910;230;204;7.84;220;60.5;39.4;2.66;7.48
W18X97;28.5;1750;211;188;7.82;201;55.3;36.1;2.65;5.86
W18X86;25.3;1530;186;166;7.77;175;48.4;31.6;2.63;4.10
W18X76;22.3;1330;163;146;7.73;152;42.2;27.6;2.61;2.83
W18X71;20.9;1170;146;127;7.50;60.3;24.7;15.8;1.70;3.49
W18X65;19.1;1070;133;117;7.49;54.8;22.5;14.4;1.69;2.73
W18X60;17.6;984;123;108;7.47;50.1;20.6;13.3;1.68;2.17
W18X55;16.2;890;112;98.3;7.41;44.9;18.5;11.9;1.67;1.66
W18X50;14.7;800;101;88.9;7.38;40.1;16.6;10.7;1.65;1.24
W18X46;13.5;712;90.7;78.8;7.25;22.5;11.7;7.43;1.29;1.22
W18X40;11.8;612;78.4;68.4;7.21;19.1;10.0;6.35;1.27;0.810
W18X35;10.3;510;66.5;57.6;7.04;15.3;8.06;5.12;1.22;0.506
W16X100;29.4;1490;198;175;7.10;186;54.9;35.7;2.51;7.73
W16X89;26.2;1300;175;155;7.05;163;48.1;31.4;2.49;5.45
W16X77;22.6;1110;150;134;7.00;138;41.1;26.9;2.47;3.57
W16X67;19.6;954;130;117;6.96;119;35.5;23.2;2.46;2.39
W16X57;16.8;758;105;92.2;6.72;43.1;18.9;12.1;1.60;2.22
W16X50;14.7;659;92.0;81.0;6.68;37.2;16.3;10.5;1.59;1.52
W16X45;13.3;586;82.3;72.7;6.65;32.8;14.5;9.34;1.57;1.11
W16X40;11.8;518;73.0;64.7;6.63;28.9;12.7;8.25;1.57;0.794
W16X36;10.6;448;64.0;56.5;6.51;24.5;10.8;7.00;1.52;0.545
W16X31;9.13;375;54.0;47.2;6.41;12.4;7.03;4.49;1.17;0.461
W16X26;7.68;301;44.2;38.4;6.26;9.59;5.48;3.49;1.12;0.262
W14X730;215;14300;1660;1280;8.17;4720;816;527;4.69;1450
W14X665;196;12400;1480;1150;7.98;4170;730;472;4.62;1120
W14X605;178;10800;1320;1040;7.80;3680;652;423;4.55;869
W14X550;162;9430;1180;931;7.63;3250;583;378;4.49;669
W14X500;147;8210;1050;838;7.48;2880;522;339;4.43;514
W14X455;134;7190;936;756;7.33;2560;468;304;4.38;395
W14X426;125;6600;869;706;7.26;2360;434;283;4.34;331
W14X398;117;6000;801;656;7.16;2170;402;262;4.31;273
W14X370;109;5440;736;607;7.07;1990;370;241;4.27;222
W14X342;101;4900;672;558;6.98;1810;338;221;4.24;178
W14X311;91.4;4330;603;506;6.88;1610;304;199;4.20;136
W14X283;83.3;3840;542;459;6.79;1440;274;179;4.17;104
W14X257;75.6;3400;487;415;6.71;1290;246;161;4.13;79.1
W14X233;68.5;3010;436;375;6.63;1150;221;145;4.10;59.5
W14X211;62.0;2660;390;338;6.55;1030;198;130;4.07;44.6
W14X193;56.8;2400;355;310;6.50;931;180;119;4.05;34.8
W14X176;51.8;2140;320;281;6.43;838;163;107;4.02;26.5
W14X159;46.7;1900;287;254;6.38;748;146;96.2;4.00;19.7
W14X145;42.7;1710;260;232;6.33;677;133;87.3;3.98;15.2
W14X132;38.8;1530;234;209;6.28;548;113;74.5;3.76;12.3
W14X120;35.3;1380;212;190;6.24;495;102;67.5;3.74;9.37
W14X109;32.0;1240;192;173;6.22;447;92.7;61.2;3.73;7.12
W14X99;29.1;1110;173;157;6.17;402;83.6;55.2;3.71;5.37
W14X90;26.5;999;157;143;6.14;362;75.6;49.9;3.70;4.06
W14X82;24.0;881;139;123;6.05;148;44.8;29.3;2.48;5.07
W14X74;21.8;795;126;112;6.04;134;40.5;26.6;2.48;3.87
W14X68;20.0;722;115;103;6.01;121;36.9;24.2;2.46;3.01
W14X61;17.9;640;102;92.1;5.98;107;32.8;21.5;2.45;2.19
W14X53;15.6;541;87.1;77.8;5.89;57.7;22.0;14.3;1.92;1.94
W14X48;14.1;484;78.4;70.2;5.85;51.4;19.6;12.8;1.91;1.45
W14X43;12.6;428;69.6;62.6;5.82;45.2;17.3;11.3;1.89;1.05
W14X38;11.2;385;61.5;54.6;5.87;26.7;12.1;7.88;1.55;0.798
W14X34;10.0;340;54.6;48.6;5.83;23.3;10.6;6.91;1.53;0.569
W14X30;8.85;291;47.3;42.0;5.73;19.6;8.99;5.82;1.49;0.380
W14X26;7.69;245;40.2;35.3;5.65;8.91;5.54;3.55;1.08;0.358
W14X22;6.49;199;33.2;29.0;5.54;7.00;4.39;2.80;1.04;0.208
W12X336;98.9;4060;603;483;6.41;1190;274;177;3.47;243
W12X305;89.5;3550;537;435;6.29;1050;244;159;3.42;185
W12X279;81.9;3110;481;393;6.16;937;220;143;3.38;143
W12X252;74.1;2720;428;353;6.06;828;196;127;3.34;108
W12X230;67.7;2420;386;321;5.97;742;177;115;3.31;83.8
W12X210;61.8;2140;348;292;5.89;664;159;104;3.28;64.7
W12X190;56.0;1890;311;263;5.82;589;143;93.0;3.25;48.8
W12X170;50.0;1650;275;235;5.74;517;126;82.3;3.22;35.6
W12X152;44.7;1430;243;209;5.66;454;111;72.8;3.19;25.8
W12X136;39.9;1240;214;186;5.58;398;98.0;64.2;3.16;18.5
W12X120;35.2;1070;186;163;5.51;345;85.4;56.0;3.13;12.9
W12X106;31.2;933;164;145;5.47;301;75.1;49.3;3.11;9.13
W12X96;28.2;833;147;131;5.44;270;67.5;44.4;3.09;6.85
W12X87;25.6;740;132;118;5.38;241;60.4;39.7;3.07;5.10
W12X79;23.2;662;119;107;5.34;216;54.3;35.8;3.05;3.84
W12X72;21.1;597;108;97.4;5.31;195;49.2;32.4;3.04;2.93
W12X65;19.1;533;96.8;87.9;5.28;174;44.1;29.1;3.02;2.18
W12X58;17.0;475;86.4;78.0;5.28;107;32.5;21.4;2.51;2.10
W12X53;15.6;425;77.9;70.6;5.23;95.8;29.1;19.2;2.48;1.58
W12X50;14.6;391;71.9;64.2;5.18;56.3;21.3;13.9;1.96;1.71
W12X45;13.1;348;64.2;57.7;5.15;50.0;19.0;12.4;1.95;1.26
W12X40;11.7;307;57.0;51.5;5.13;44.1;16.8;11.0;1.94;0.906
W12X35;10.3;285;51.2;45.6;5.25;24.5;11.5;7.47;1.54;0.741
W12X30;8.79;238;43.1;38.6;5.21;20.3;9.56;6.24;1.52;0.457
W12X26;7.65;204;37.2;33.4;5.17;17.3;8.17;5.34;1.51;0.300
W12X22;6.48;156;29.3;25.4;4.91;4.66;3.66;2.31;0.848;0.293
W12X19;5.57;130;24.7;21.3;4.82;3.76;2.98;1.88;0.822;0.180
W12X16;4.71;103;20.1;17.1;4.67;2.82;2.26;1.41;0.773;0.103
W12X14;4.16;88.6;17.4;14.9;4.62;2.36;1.90;1.19;0.753;0.0704
W10X112;32.9;716;147;126;4.66;236;69.2;45.3;2.68;15.1
W10X100;29.3;623;130;112;4.60;207;61.0;40.0;2.65;10.9
W10X88;26.0;534;113;98.5;4.54;179;53.1;34.8;2.63;7.53
W10X77;22.7;455;97.6;85.9;4.49;154;45.9;30.1;2.60;5.11
W10X68;19.9;394;85.3;75.7;4.44;134;40.1;26.4;2.59;3.56
W10X60;17.7;341;74.6;66.7;4.39;116;35.0;23.0;2.57;2.48
W10X54;15.8;303;66.6;60.0;4.37;103;31.3;20.6;2.56;1.82
W10X49;14.4;272;60.4;54.6;4.35;93.4;28.3;18.7;2.54;1.39
W10X45;13.3;248;54.9;49.1;4.32;53.4;20.3;13.3;2.01;1.51
W10X39;11.5;209;46.8;42.1;4.27;45.0;17.2;11.3;1.98;0.976
W10X33;9.71;171;38.8;35.0;4.19;36.6;14.0;9.20;1.94;0.583
W10X30;8.84;170;36.6;32.4;4.38;16.7;8.84;5.75;1.37;0.622
W10X26;7.61;144;31.3;27.9;4.35;14.1;7.50;4.89;1.36;0.402
W10X22;6.49;118;26.0;23.2;4.27;11.4;6.10;3.97;1.33;0.239
W10X19;5.62;96.3;21.6;18.8;4.14;4.29;3.35;2.14;0.874;0.233
W10X17;4.99;81.9;18.7;16.2;4.05;3.56;2.80;1.78;0.845;0.156
W10X15;4.41;68.9;16.0;13.8;3.95;2.89;2.30;1.45;0.810;0.104
W10X12;3.54;53.8;12.6;10.9;3.90;2.18;1.74;1.10;0.785;0.0547
W8X67;19.7;272;70.1;60.4;3.72;88.6;32.7;21.4;2.12;5.05
W8X58;17.1;228;59.8;52.0;3.65;75.1;27.9;18.3;2.10;3.33
W8X48;14.1;184;49.0;43.2;3.61;60.9;22.9;15.0;2.08;1.96
W8X40;11.7;146;39.8;35.5;3.53;49.1;18.5;12.2;2.04;1.12
W8X35;10.3;127;34.7;31.2;3.51;42.6;16.1;10.6;2.03;0.769
W8X31;9.13;110;30.4;27.5;3.47;37.1;14.1;9.27;2.02;0.536
W8X28;8.25;98.0;27.2;24.3;3.45;21.7;10.1;6.63;1.62;0.537
W8X24;7.08;82.7;23.1;20.9;3.42;18.3;8.57;5.63;1.61;0.346
W8X21;6.16;75.3;20.4;18.2;3.49;9.77;5.69;3.71;1.26;0.282
W8X18;5.26;61.9;17.0;15.2;3.43;7.97;4.66;3.04;1.23;0.172
W8X15;4.44;48.0;13.6;11.8;3.29;3.41;2.67;1.70;0.876;0.137
W8X13;3.84;39.6;11.4;9.91;3.21;2.73;2.15;1.37;0.843;0.0871
W8X10;2.96;30.8;8.87;7.81;3.22;2.09;1.66;1.06;0.841;0.0426
W6X25;7.34;53.4;18.9;16.7;2.70;17.1;8.56;5.61;1.52;0.461
W6X20;5.87;41.4;15.0;13.4;2.66;13.3;6.72;4.41;1.50;0.240
W6X15;4.43;29.1;10.8;9.72;2.56;9.32;4.75;3.11;1.45;0.101
W6X16;4.74;32.1;11.7;10.2;2.60;4.43;3.39;2.20;0.967;0.223
W6X12;3.55;22.1;8.30;7.31;2.49;2.99;2.32;1.50;0.918;0.0903
W6X9;2.68;16.4;6.23;5.56;2.47;2.20;1.72;1.11;0.905;0.0405
W6X8.5;2.52;14.9;5.73;5.10;2.43;1.99;1.56;1.01;0.890;0.0333
W5X19;5.56;26.3;11.6;10.2;2.17;9.13;5.53;3.63;1.28;0.316
W5X16;4.71;21.4;9.63;8.55;2.13;7.51;4.58;3.00;1.26;0.192
W4X13;3.83;11.3;6.28;5.46;1.72;3.86;2.92;1.90;1.00;0.151
M12.5X12.4;3.63;89.3;16.5;14.2;4.96;2.01;1.68;1.07;0.744;0.0493
M12.5X11.6;3.40;80.3;15.0;12.8;4.86;1.51;1.37;0.864;0.667;0.0414
M12X11.8;3.47;72.2;14.3;12.0;4.56;1.09;1.15;0.709;0.559;0.0500
M12X10.8;3.18;66.7;13.2;11.1;4.58;1.01;1.07;0.661;0.564;0.0393
M12X10;2.95;61.7;12.2;10.3;4.57;1.03;1.02;0.636;0.592;0.0292
M10X9;2.65;39.0;9.22;7.79;3.83;0.672;0.809;0.500;0.503;0.0314
M10X8;2.37;34.6;8.20;6.95;3.82;0.593;0.711;0.441;0.500;0.0224
M10X7.5;2.22;33.0;7.77;6.60;3.85;0.562;0.670;0.418;0.503;0.0187
M8X6.5;1.92;18.5;5.43;4.63;3.11;0.376;0.529;0.329;0.443;0.0184
M8X6.2;1.82;17.6;5.15;4.39;3.10;0.352;0.495;0.308;0.439;0.0156
M6X4.4;1.29;7.23;2.80;2.41;2.36;0.180;0.311;0.195;0.372;0.00990
M6X3.7;1.09;5.96;2.33;2.01;2.34;0.173;0.273;0.173;0.398;0.00530
M5X18.9;5.56;24.2;11.1;9.67;2.08;8.70;5.33;3.48;1.25;0.313
M4X6;1.75;4.72;2.74;2.48;1.64;1.47;1.18;0.771;0.915;0.0184
M4X4.08;1.27;3.53;2.00;1.77;1.67;0.325;0.453;0.289;0.506;0.0147
M4X3.45;1.01;2.86;1.60;1.43;1.68;0.248;0.346;0.221;0.496;0.00820
M4X3.2;1.01;2.86;1.60;1.43;1.68;0.248;0.346;0.221;0.496;0.00820
M3X2.9;0.914;1.50;1.12;1.00;1.28;0.248;0.344;0.221;0.521;0.00790
S24X121;35.5;3160;306;258;9.43;83.0;36.3;20.6;1.53;12.8
S24X106;31.1;2940;279;240;9.71;76.8;33.4;19.5;1.57;10.1
S24X100;29.3;2380;239;199;9.01;47.4;24.0;13.1;1.27;7.59
S24X90;26.5;2250;222;187;9.21;44.7;22.4;12.5;1.30;6.05
S24X80;23.5;2100;204;175;9.47;42.0;20.8;12.0;1.34;4.89
S20X96;28.2;1670;198;165;7.71;49.9;24.9;13.9;1.33;8.40
S20X86;25.3;1570;183;155;7.89;46.6;23.1;13.2;1.36;6.65
S20X75;22.0;1280;152;128;7.62;29.5;16.7;9.25;1.16;4.59
S20X66;19.4;1190;139;119;7.83;27.5;15.4;8.78;1.19;3.58
S18X70;20.5;923;124;103;6.70;24.0;14.3;7.69;1.08;4.10
S18X54.7;16.0;801;104;89.0;7.07;20.7;12.1;6.91;1.14;2.33
S15X50;14.7;485;77.0;64.7;5.75;15.6;10.0;5.53;1.03;2.12
S15X42.9;12.6;446;69.2;59.4;5.95;14.3;9.08;5.19;1.06;1.54
S12X50;14.7;303;60.9;50.6;4.55;15.6;10.3;5.69;1.03;2.77
S12X40.8;11.9;270;52.7;45.1;4.76;13.5;8.86;5.13;1.06;1.69
S12X35;10.2;228;44.6;38.1;4.72;9.84;6.80;3.88;0.980;1.05
S12X31.8;9.31;217;41.8;36.2;4.83;9.33;6.44;3.73;1.00;0.878
S10X35;10.3;147;35.4;29.4;3.78;8.30;6.19;3.36;0.899;1.29
S10X25.4;7.45;123;28.3;24.6;4.07;6.73;4.99;2.89;0.950;0.603
S8X23;6.76;64.7;19.2;16.2;3.09;4.27;3.67;2.05;0.795;0.550
S8X18.4;5.40;57.5;16.5;14.4;3.26;3.69;3.18;1.84;0.827;0.335
S6X17.25;5.05;26.2;10.5;8.74;2.28;2.29;2.35;1.28;0.673;0.371
S6X12.5;3.66;22.0;8.45;7.34;2.45;1.80;1.86;1.08;0.702;0.167
S5X10;2.93;12.3;5.66;4.90;2.05;1.19;1.37;0.795;0.638;0.114
S4X9.5;2.79;6.76;4.04;3.38;1.56;0.887;1.13;0.635;0.564;0.120
S4X7.7;2.26;6.05;3.50;3.03;1.64;0.748;0.970;0.562;0.576;0.0732
S3X7.5;2.20;2.91;2.35;1.94;1.15;0.578;0.821;0.461;0.513;0.0896
S3X5.7;1.66;2.50;1.94;1.67;1.23;0.447;0.656;0.383;0.518;0.0433
HP18X204;60.2;3480;433;380;7.60;1120;191;124;4.31;29.5
HP18X181;53.2;3020;379;336;7.53;974;167;108;4.28;20.7
HP18X157;46.2;2570;327;290;7.46;833;143;93.1;4.25;13.9
HP18X135;39.9;2200;281;251;7.43;706;122;79.3;4.21;9.12
HP16X183;54.1;2510;349;304;6.81;818;156;100.0;3.89;26.9
HP16X162;47.7;2190;306;269;6.78;697;134;86.6;3.82;18.8
HP16X141;41.7;1870;264;234;6.70;599;116;74.9;3.79;12.9
HP16X121;35.8;1590;226;201;6.66;504;97.6;63.4;3.75;8.35
HP16X101;29.9;1300;187;168;6.59;412;80.1;52.2;3.71;5.07
HP16X88;25.8;1110;161;145;6.56;349;68.2;44.5;3.68;3.45
HP14X117;34.4;1220;194;172;5.96;443;91.4;59.5;3.59;8.02
HP14X102;30.1;1050;169;150;5.92;380;78.8;51.4;3.56;5.39
HP14X89;26.1;904;146;131;5.88;326;67.7;44.3;3.53;3.59
HP14X73;21.4;729;118;107;5.84;261;54.6;35.8;3.49;2.01
HP12X84;24.6;650;120;106;5.14;213;53.2;34.6;2.94;4.24
HP12X74;21.8;569;105;93.8;5.11;186;46.6;30.4;2.92;2.98
HP12X63;18.4;472;88.3;79.1;5.06;153;38.7;25.3;2.88;1.83
HP12X53;15.5;393;74.0;66.7;5.03;127;32.2;21.1;2.86;1.12
HP10X57;16.7;294;66.5;58.8;4.18;101;30.3;19.7;2.45;1.97
HP10X42;12.4;210;48.3;43.4;4.13;71.7;21.8;14.2;2.41;0.813
HP8X36;10.6;119;33.6;29.8;3.36;40.3;15.2;9.88;1.95;0.770
C15X50;14.7;404;68.5;53.8;5.24;11.0;8.14;3.77;0.865;2.65
C15X40;11.8;348;57.5;46.5;5.43;9.17;6.84;3.34;0.883;1.45
C15X33.9;10.0;315;50.8;42.0;5.61;8.07;6.19;3.09;0.901;1.01
C12X30;8.81;162;33.8;27.0;4.29;5.12;4.32;2.05;0.762;0.861
C12X25;7.34;144;29.4;24.0;4.43;4.45;3.82;1.87;0.779;0.538
C12X20.7;6.08;129;25.6;21.5;4.61;3.86;3.47;1.72;0.797;0.369
C10X30;8.81;103;26.7;20.7;3.43;3.93;3.78;1.65;0.668;1.22
C10X25;7.35;91.1;23.1;18.2;3.52;3.34;3.18;1.47;0.675;0.687
C10X20;5.87;78.9;19.4;15.8;3.67;2.80;2.70;1.31;0.690;0.368
C10X15.3;4.48;67.3;15.9;13.5;3.88;2.27;2.34;1.15;0.711;0.209
C9X20;5.87;60.9;16.9;13.5;3.22;2.41;2.46;1.17;0.640;0.427
C9X15;4.40;51.0;13.6;11.3;3.40;1.91;2.04;1.01;0.659;0.208
C9X13.4;3.94;47.8;12.6;10.6;3.48;1.75;1.94;0.954;0.666;0.168
C8X18.75;5.51;43.9;13.9;11.0;2.82;1.97;2.17;1.01;0.598;0.434
C8X13.75;4.03;36.1;11.0;9.02;2.99;1.52;1.73;0.848;0.613;0.186
