Designation;A;Ix;Zx;Sx;rx;Iy;Zy;Sy;ry;J
ST R 12x6x0.375;12.6;228;47.7;38.1;4.26;77.2;29.4;25.7;2.48;190
ST R 12x6x0.3125;10.6;196;40.6;32.6;4.30;66.6;25.1;22.2;2.51;162
ST R 12x6x0.25;8.59;161;33.2;26.9;4.33;55.2;20.6;18.4;2.53;132
ST R 12x6x0.1875;6.52;124;25.4;20.7;4.37;42.8;15.8;14.3;2.56;101
ST R 12x4x0.625;17.4;257;58.6;42.8;3.84;41.8;25.8;20.9;1.55;127
ST R 12x4x0.5625;15.9;240;54.2;39.9;3.88;39.6;24.0;19.8;1.58;119
ST R 12x4x0.5;14.4;221;49.4;36.8;3.92;36.9;22.0;18.5;1.60;110
ST R 12x4x0.375;11.1;178;39.0;29.6;4.01;30.5;17.6;15.2;1.66;89.0
ST R 12x4x0.3125;9.36;153;33.3;25.5;4.05;26.6;15.1;13.2;1.69;76.9
ST R 12x4x0.25;7.59;127;27.3;21.1;4.09;22.3;12.5;11.1;1.71;63.6
ST R 12x4x0.1875;5.77;98.2;21.0;16.4;4.13;17.5;9.63;8.75;1.74;49.3
ST R 12x2x0.25;6.59;92.2;21.4;15.4;3.74;4.62;5.38;4.62;0.837;15.9
ST R 12x2x0.1875;5.02;72.0;16.6;12.0;3.79;3.76;4.24;3.76;0.865;12.8
ST R 10x8x0.625;19.9;266;65.9;53.2;3.65;187;56.4;46.8;3.07;367
ST R 10x8x0.5625;18.2;247;60.6;49.3;3.68;174;52.0;43.5;3.09;337
ST R 10x8x0.5;16.4;226;55.1;45.2;3.72;160;47.2;39.9;3.12;306
ST R 10x8x0.375;12.6;180;43.1;35.9;3.78;127;37.0;31.8;3.18;239
ST R 10x8x0.3125;10.6;154;36.7;30.8;3.81;109;31.5;27.3;3.21;203
ST R 10x8x0.25;8.59;127;30.0;25.4;3.84;90.2;25.8;22.5;3.24;166
ST R 10x8x0.1875;6.52;97.9;23.0;19.6;3.87;69.7;19.7;17.4;3.27;127
ST R 10x6x0.625;17.4;211;54.2;42.2;3.48;93.5;37.7;31.2;2.32;221
ST R 10x6x0.5625;15.9;197;50.0;39.3;3.51;87.5;34.9;29.2;2.34;204
ST R 10x6x0.5;14.4;181;45.6;36.2;3.55;80.8;31.9;26.9;2.37;187
ST R 10x6x0.375;11.1;145;35.9;29.0;3.62;65.4;25.2;21.8;2.43;147
ST R 10x6x0.3125;9.36;125;30.7;25.0;3.65;56.5;21.5;18.8;2.46;126
ST R 10x6x0.25;7.59;103;25.1;20.6;3.69;46.9;17.7;15.6;2.49;103
ST R 10x6x0.1875;5.77;79.8;19.3;16.0;3.72;36.5;13.6;12.2;2.51;79.1
ST R 10x5x0.625;16.2;183;48.3;36.7;3.37;60.0;29.3;24.0;1.93;157
ST R 10x5x0.5625;14.8;171;44.7;34.3;3.40;56.5;27.2;22.6;1.95;146
ST R 10x5x0.5;13.4;158;40.8;31.6;3.44;52.5;25.0;21.0;1.98;134
ST R 10x5x0.375;10.3;128;32.3;25.5;3.51;42.9;19.9;17.1;2.04;107
ST R 10x5x0.3125;8.73;110;27.6;22.0;3.55;37.2;17.0;14.9;2.07;91.5
ST R 10x5x0.25;7.09;91.2;22.7;18.2;3.59;31.1;14.0;12.4;2.09;75.2
ST R 10x5x0.1875;5.39;70.8;17.4;14.2;3.62;24.3;10.8;9.71;2.12;58.0
ST R 10x4x0.5625;13.7;146;39.4;29.3;3.27;32.9;20.1;16.4;1.55;93.8
ST R 10x4x0.5;12.4;136;36.1;27.1;3.31;30.8;18.5;15.4;1.58;86.9
ST R 10x4x0.375;9.58;110;28.7;22.0;3.39;25.5;14.9;12.8;1.63;70.4
ST R 10x4x0.3125;8.11;95.5;24.6;19.1;3.43;22.4;12.8;11.2;1.66;60.8
ST R 10x4x0.25;6.59;79.9;20.2;15.9;3.47;18.8;10.6;9.39;1.69;50.4
ST R 10x4x0.1875;5.02;61.7;15.6;12.3;3.51;14.8;8.20;7.39;1.72;39.1
ST R 10x2x0.375;8.08;75.4;21.5;15.1;3.06;4.85;6.05;4.85;0.775;16.5
ST R 10x2x0.3125;6.86;66.1;18.5;13.2;3.10;4.42;5.33;4.42;0.802;14.9
ST R 10x2x0.25;5.59;55.5;15.4;11.1;3.15;3.85;4.50;3.85;0.830;12.8
ST R 10x2x0.1875;4.27;43.7;11.9;8.74;3.20;3.14;3.56;3.14;0.858;10.3
ST R 9x7x0.625;17.4;183;51.0;40.6;3.24;123;42.8;35.1;2.66;248
ST R 9x7x0.5625;15.9;170;47.1;37.9;3.27;115;39.5;32.8;2.69;229
ST R 9x7x0.5;14.4;157;42.9;34.8;3.30;106;36.1;30.2;2.71;209
ST R 9x7x0.375;11.1;126;33.8;27.9;3.37;85.1;28.4;24.3;2.77;164
ST R 9x7x0.3125;9.36;108;28.8;24.0;3.40;73.5;24.3;21.0;2.80;140
ST R 9x7x0.25;7.59;89.4;23.6;19.9;3.43;60.8;19.9;17.4;2.83;114
ST R 9x7x0.1875;5.77;69.2;18.1;15.4;3.46;47.2;15.3;13.5;2.86;87.7
ST R 9x6x0.625;16.2;161;45.8;35.8;3.15;84.5;34.4;18.2;2.28;189
ST R 9x6x0.5625;14.8;150;42.3;33.4;3.19;79.2;31.9;26.5;2.31;175
ST R 9x6x0.5;13.4;139;38.7;30.8;3.22;73.2;29.1;24.4;2.34;160
ST R 9x6x0.375;10.3;112;30.6;24.8;3.29;59.4;23.1;19.8;2.40;127
ST R 9x6x0.3125;8.73;96.4;26.1;21.4;3.32;51.4;19.8;17.1;2.43;108
ST R 9x6x0.25;7.09;79.8;21.4;17.7;3.36;42.7;16.2;14.2;2.46;88.8
ST R 9x6x0.1875;5.39;61.9;16.5;13.8;3.39;33.3;12.5;11.1;2.48;68.2
ST R 9x5x0.5625;13.7;130;37.6;29.0;3.09;50.9;14.7;20.4;1.93;126
ST R 9x5x0.5;12.4;121;34.4;26.8;3.12;47.4;22.7;18.9;1.96;115
ST R 9x5x0.375;9.58;97.8;27.3;21.7;3.20;38.8;18.1;15.5;2.01;92.2
ST R 9x5x0.3125;8.11;84.6;23.4;18.8;3.23;33.8;15.6;13.5;2.04;79.2
ST R 9x5x0.25;6.59;70.3;19.3;15.6;3.27;28.2;12.8;11.3;2.07;65.2
ST R 9x5x0.1875;5.02;54.7;14.8;12.1;3.30;22.1;9.90;8.84;2.10;50.2
ST R 9x3x0.5;10.4;84.4;25.9;18.8;2.86;13.7;11.3;9.11;1.15;41.6
ST R 9x3x0.375;8.08;69.9;20.9;15.5;2.94;11.7;9.29;7.79;1.20;34.9
ST R 9x3x0.3125;6.86;61.0;18.0;13.6;2.98;10.4;8.08;6.92;1.23;30.5
ST R 9x3x0.25;5.59;51.1;14.9;11.4;3.02;8.84;6.73;5.90;1.26;25.6
ST R 9x3x0.1875;4.27;40.1;11.5;8.91;3.06;7.06;5.26;4.70;1.29;20.1
ST R 8x6x0.5625;13.7;112;35.2;27.9;2.86;70.8;28.8;23.6;2.28;147
ST R 8x6x0.5;12.4;103;32.2;25.8;2.89;65.7;26.4;21.9;2.31;135
ST R 8x6x0.375;9.58;83.7;25.6;20.9;2.96;53.5;21.0;17.8;2.36;107
ST R 8x6x0.3125;8.11;72.4;21.9;18.1;2.99;46.4;18.0;15.5;2.39;91.3
ST R 8x6x0.25;6.59;60.1;18.0;15.0;3.02;38.6;14.8;12.9;2.42;74.9
ST R 8x6x0.1875;5.02;46.8;13.9;11.7;3.05;30.1;11.4;10.0;2.45;57.6
ST R 8x4x0.5625;11.4;80.5;26.9;20.1;2.65;26.2;16.2;13.1;1.51;69.0
ST R 8x4x0.5;10.4;75.1;24.7;18.8;2.69;24.6;15.0;12.3;1.54;64.1
ST R 8x4x0.375;8.08;61.9;19.9;15.5;2.77;20.6;12.2;10.3;1.60;52.2
ST R 8x4x0.3125;6.86;53.9;17.1;13.5;2.80;18.1;10.5;9.05;1.62;45.2
ST R 8x4x0.25;5.59;45.1;14.1;11.3;2.84;15.3;8.72;7.63;1.65;37.5
ST R 8x4x0.1875;4.27;35.3;11.0;8.83;2.88;12.0;6.77;6.02;1.68;29.1
ST R 8x3x0.5;9.36;61.0;21.0;15.3;2.55;12.1;10.1;8.05;1.14;35.7
ST R 8x3x0.375;7.33;51.0;17.0;12.7;2.64;10.4;8.31;6.92;1.19;29.9
ST R 8x3x0.3125;6.23;44.7;14.7;11.2;2.68;9.25;7.24;6.16;1.22;26.3
ST R 8x3x0.25;5.09;37.6;12.2;9.40;2.72;7.90;6.05;5.26;1.25;22.1
ST R 8x3x0.1875;3.89;29.6;9.49;7.40;2.76;6.31;4.73;4.21;1.27;17.3
ST R 8x2x0.375;6.58;40.1;14.2;10.0;2.47;3.85;4.83;3.85;0.765;12.6
ST R 8x2x0.3125;5.61;35.5;12.3;8.87;2.51;3.52;4.28;3.52;0.792;11.4
ST R 8x2x0.25;4.59;30.1;10.3;7.52;2.56;3.08;3.63;3.08;0.819;9.84
ST R 8x2x0.1875;3.52;23.9;8.02;5.97;2.60;2.52;2.88;2.52;0.847;7.94
ST R 7x5x0.5;10.4;63.5;23.1;18.1;2.48;37.2;18.2;14.9;1.90;79.9
ST R 7x5x0.375;8.08;52.2;18.5;14.9;2.54;30.8;14.6;12.3;1.95;64.2
ST R 7x5x0.3125;6.86;45.5;15.9;13.0;2.58;26.9;12.6;10.8;1.98;55.3
ST R 7x5x0.25;5.59;38.0;13.2;10.9;2.61;22.6;10.4;9.04;2.01;45.6
ST R 7x5x0.1875;4.27;29.8;10.2;8.50;2.64;17.7;8.10;7.10;2.04;35.3
ST R 7x4x0.5;9.36;52.9;19.8;15.1;2.38;21.5;13.3;10.8;1.52;53.0
ST R 7x4x0.375;7.33;44.0;16.0;12.6;2.45;18.1;10.8;9.06;1.57;43.3
ST R 7x4x0.3125;6.23;38.5;13.8;11.0;2.49;16.0;9.36;7.98;1.60;37.5
ST R 7x4x0.25;5.09;32.3;11.5;9.20;2.52;13.5;7.78;6.75;1.63;31.2
ST R 7x4x0.1875;3.89;25.4;8.91;7.26;2.55;10.7;6.06;5.34;1.66;24.2
ST R 7x3x0.5;8.36;42.3;16.6;12.1;2.25;10.5;8.84;6.99;1.12;29.8
ST R 7x3x0.375;6.58;35.7;13.5;10.2;2.33;9.08;7.32;6.05;1.18;25.1
ST R 7x3x0.3125;5.61;31.5;11.8;9.00;2.37;8.11;6.40;5.41;1.20;22.0
ST R 7x3x0.25;4.59;26.6;9.79;7.61;2.41;6.95;5.36;4.63;1.23;18.5
ST R 7x3x0.1875;3.52;21.1;7.63;6.02;2.45;5.57;4.21;3.71;1.26;14.6
ST R 7x2x0.25;4.09;20.9;8.10;5.98;2.26;2.69;3.19;2.69;0.812;8.36
ST R 7x2x0.1875;3.14;16.7;6.36;4.77;2.31;2.21;2.54;2.21;0.839;6.74
ST R 6x5x0.5;9.36;42.9;18.1;14.3;2.14;32.1;16.0;12.8;1.85;62.9
ST R 6x5x0.375;7.33;35.6;14.7;11.9;2.21;26.8;12.9;10.7;1.91;50.9
ST R 6x5x0.3125;6.23;31.2;12.7;10.4;2.24;23.5;11.2;9.40;1.94;43.9
ST R 6x5x0.25;5.09;26.2;10.5;8.74;2.27;19.8;9.26;7.91;1.97;36.3
ST R 6x5x0.1875;3.89;20.6;8.15;6.87;2.30;15.6;7.20;6.23;2.00;28.1
ST R 6x4x0.5;8.36;35.3;15.4;11.8;2.06;18.4;11.5;9.21;1.48;42.1
ST R 6x4x0.375;6.58;29.7;12.5;9.90;2.13;15.6;9.44;7.82;1.54;34.6
ST R 6x4x0.3125;5.61;26.2;10.9;8.72;2.16;13.8;8.21;6.92;1.57;30.1
ST R 6x4x0.25;4.59;22.1;9.06;7.36;2.19;11.7;6.84;5.87;1.60;25.0
ST R 6x4x0.1875;3.52;17.4;7.06;5.81;2.23;9.32;5.34;4.66;1.63;19.5
ST R 6x3x0.375;5.83;23.8;10.4;7.92;2.02;7.78;6.34;5.19;1.16;20.3
ST R 6x3x0.3125;4.98;21.1;9.11;7.03;2.06;6.98;5.56;4.65;1.18;17.9
ST R 6x3x0.25;4.09;17.9;7.62;5.98;2.09;6.00;4.67;4.00;1.21;15.1
ST R 6x3x0.1875;3.14;14.3;5.97;4.76;2.13;4.83;3.68;3.22;1.24;11.9
ST R 6x2x0.375;5.08;17.8;8.33;5.94;1.87;2.84;3.61;2.84;0.748;8.72
ST R 6x2x0.3125;4.36;16.0;7.33;5.34;1.92;2.62;3.22;2.62;0.755;7.94
ST R 6x2x0.25;3.59;13.8;6.18;4.60;1.96;2.31;2.75;2.31;0.802;6.88
ST R 6x2x0.1875;2.77;11.1;4.88;3.70;2.00;1.90;2.20;1.90;0.829;5.56
ST R 5x4x0.375;5.83;18.7;9.44;7.50;1.79;13.2;8.08;6.58;1.50;26.3
ST R 5x4x0.3125;4.98;16.6;8.24;6.65;1.83;11.7;7.05;5.85;1.53;22.9
ST R 5x4x0.25;4.09;14.1;6.89;5.65;1.86;9.98;5.90;4.99;1.56;19.1
ST R 5x4x0.1875;3.14;11.2;5.39;4.49;1.89;7.96;4.63;3.98;1.59;14.9
ST R 5x3x0.5;6.36;16.9;9.20;6.75;1.63;7.33;6.35;4.88;1.07;18.2
